query name,query,description
Memory Usage Percentage,100 - ((node_memory_MemAvailable_bytes{instance=$node,job=$job} * 100) / node_memory_MemTotal_bytes{instance=$node,job=$job}),s
Memory Apps,node_memory_MemTotal_bytes{instance=$node,job=$job} - node_memory_MemFree_bytes{instance=$node,job=$job} - node_memory_Buffers_bytes{instance=$node,job=$job} - node_memory_Cached_bytes{instance=$node,job=$job} - node_memory_Slab_bytes{instance=$node,job=$job} - node_memory_PageTables_bytes{instance=$node,job=$job} - node_memory_SwapCached_bytes{instance=$node,job=$job},used memory by applications
Disk Written Megabytes,'irate(node_disk_written_bytes_total{instance=$node,job=$job}[$__rate_interval])/(1024*1024)',Written Mbs
I/O Utilization,'irate(node_disk_io_time_seconds_total{instance=$node,job=$job,device=~$diskdevices} [$__rate_interval])',i/o utilization
Disk Space Used, node_filesystem_size_bytes{instance=$node,job=$job,device!~'rootfs'} - node_filesystem_avail_bytes{instance=$node,job=$job,device!~'rootfs'}, Used storage
Memory mapped, node_memory_Mapped_bytes{instance=$node,job=$job}, Used memory in mapped pages, file which has been mmapped
Memory Shmem, node_memory_Shmem_bytes{instance=$node,job=$job}, Used Shared Memory(shared between several processes, thus including RAM disks)
Memory Shemhugepages, Memory used by shared memory shmem and tmpfs allocated with huge pages
Memory Shempmd Mapped Pages, node_memory_ShmemPmdMapped_bytes{instance=$node,job=$job}, Amount of shared (shem/tmpfs) memory backed by huge pages
Network Received ens3,irate(node_network_receive_bytes_total{instance=$node,job=$job,device=ens3}[$__rate_interval])*8, Received data by network device ens3
Network Transmitted ens3, irate(node_network_transmit_bytes_total{instance=$node,job=$job,device=ens3}[$__rate_interval])*8, Transmitted data of network in megabytes
Network Transmitted lo, irate(node_network_transmit_bytes_total{instance=$node,job=$job,device=lo}[$__rate_interval])*8, Transmitted data of network in megabytes
Guest Time spent to run virtual cpu on guest, sum by(instance) (irate(node_cpu_guest_seconds_total{instance=$node,job=$job, mode=user}[1m])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$node,job=$job}[1m]))), time spent running a virtual cpu for a guest operating system
GuestNice time spent running nice guest vCPUs,sum by(instance) (irate(node_cpu_guest_seconds_total{instance=$node,job=$job, mode=nice}[1m])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$node,job=$job}[1m]))),time spent running a virtual niced cpu for a guest operating system
VMAllocChunk vmlloc area, node_memory_VmallocChunk_bytes{instance=$node,job=$job}, largest contigious  block of vmalloc area wihch is free
VMAllocTotal vmalloc total, node_memory_VmallocTotal_bytes{instance=$node,job=$job}, Total size of vmalloc memory area
VMAllocUsed used vmalloc, node_memory_VmallocUsed_bytes{instance=$node,job=$job}, amount of used vmalloc area
Memory in Anonymous Huge Bytes, node_memory_AnonHugePages_bytes{instance=$node,job=$job}, memory in anonymous huge bytes anonhugebytes
Memory Anonymous Bytes, node_memory_AnonPages_bytes{instance=$node,job=$job},  memory in user pages not backed up by files
Memory Kernel Stack, node_memory_KernelStack_bytes{instance=$node,job=$job}, kernel memory stack not reclaimable
Memory PerCPU Bytes, node_memory_Percpu_bytes{instance=$node,job=$job}, Per CPU memory allocated dynamically by loadable modules
Memory Huge Page total,node_memory_HugePages_Total{instance=$node,job=$job},Total Size of the pool of huge pages
Memory Huge Page Size, node_memory_Hugepagesize_bytes{instance=$node,job=$job}, Huge Page Size
Memory mapped as 1G,node_memory_DirectMap1G_bytes{instance=$node,job=$job}, Amount of memory mapped as this size
Memory Mapped as 1M, node_memory_DirectMap2M_bytes{instance=$node,job=$job}, Amount of memory mapped as this size
Memory Mapped as 4K, node_memory_DirectMap4k_bytes{instance=$node,job=$job}, Amount of memory mapped as this size
Memory NFS Unstable, node_memory_NFS_Unstable_bytes{instance=$node,job=$job}, Memory in NFS Pages sent to the server, but note yet commited to the storage
Memory Pages in operations, irate(node_vmstat_pgpgin{instance=$node,job=$job}[$__rate_interval]), page in operations memory
Memory Pages out operations, irate(node_vmstat_pgpgout{instance=$node,job=$job}[$__rate_interval]), page out operations memory
Memory Pages SWapped in, irate(node_vmstat_pswpin{instance=$node,job=$job}[$__rate_interval]), memory pages swapped in
Memory Pages Swapped out, irate(node_vmstat_pswpout{instance=$node,job=$job}[$__rate_interval]), memory pages swapped out
Memory Page faults, irate(node_vmstat_pgfault{instance=$node,job=$job}[$__rate_interval]), memory page fault operations minor and major
Memory vmstat OOM Killer, irate(node_vmstat_oom_kill{instance=$node,job=$job}[$__rate_interval]), vmstat oom killer
Time Offset, node_timex_offset_seconds{instance=$node,job=$job}, Time offset between local system and reference clock time syncronized drift
Time Maximum Error in seconds, node_timex_maxerror_seconds{instance=$node,job=$job}, Time syncronized drift maximum errror in secs
Time PPL Adjust, node_timex_loop_time_constant{instance=$node,job=$job}, Time PPL Adjust
Processes Blocked, node_procs_blocked{instance=$node,job=$job}, Processes Blocked Waiting for I/O to complete
Processes in Runnable State,node_procs_running{instance=$node,job=$job}, Processes in Runable State
CPU Running Process Secs,irate(node_schedstat_running_seconds_total{instance=$node,job=$job}[$__rate_interval]), cpu seconds spent running a process[make it per cpu]
CPU Waiting secs.,irate(node_schedstat_waiting_seconds_total{instance=$node,job=$job}[$__rate_interval]), seconds spent by processing waiting for this cpu[make it per cpu]
Context Switches, irate(node_context_switches_total{instance=$node,job=$job}[$__rate_interval]), Context Switches
Context Interrupts,irate(node_intr_total{instance=$node,job=$job}[$__rate_interval]), Context INterrrupts
System Load 1m,node_load1{instance=$node,job=$job}, system load one minute
System Load 5m,node_load5{instance=$node,job=$job}, system load five minute
System Load 15m,node_load15{instance=$node,job=$job}, system load fifteen minute
Schdeule Timeslices executed by each CPU, irate(node_schedstat_timeslices_total{instance=$node,job=$job}[$__rate_interval]),Schdeule Timeslices executed by each CPU[make it per cpu]
Entropy, node_entropy_available_bits{instance=$node,job=$job}, entropy availbale to random number generators
CPU time spent on process, irate(process_cpu_seconds_total{instance=$node,job=$job}[$__rate_interval]), cpu time spent in user and system contents
Read Wait Time Avg, irate(node_disk_read_time_seconds_total{instance=$node,job=$job}[$__rate_interval]) / irate(node_disk_reads_completed_total{instance=$node,job=$job}[$__rate_interval]), Disk Averate Wait Time Read
Write Wait Time Avg, irate(node_disk_write_time_seconds_total{instance=$node,job=$job}[$__rate_interval]) / irate(node_disk_writes_completed_total{instance=$node,job=$job}[$__rate_interval]), Disk Averate Wait Time Write
Average Queue Size,irate(node_disk_io_time_weighted_seconds_total{instance=$node,job=$job}[$__rate_interval]),Average Queue Size
Time Spent Doing I/O discard, irate(node_disk_discard_time_seconds_total{instance=$node,job=$job}[$__rate_interval]),Time spent doing i/o discard time total rated
Packets Received device ens3,irate(node_network_receive_packets_total{instance=$node,job=$job,device=ens3}[$__rate_interval]),Network Traffic By Packets Received Packets total number of ens3
Packets Received device lo,irate(node_network_receive_packets_total{instance=$node,job=$job,device=lo}[$__rate_interval]), Network Traffic By Packets Received Packets total number of lo
Packets Transmitted ens3,irate(node_network_transmit_packets_total{instance=$node,job=$job,device=ens3}[$__rate_interval]),Network Traffic By Packets Transmitted total number of ens3
Packets Transmitted lo,irate(node_network_transmit_packets_total{instance=$node,job=$job,device=lo}[$__rate_interval]),Network Traffic By Packets Transmitted total number of lo
Received Errors Total,sum by(instance)(irate(node_network_receive_errs_total{instance=$node,job=$job}[$__rate_interval])), total received errors
Transmitted Errors Total,sum by(instance)(irate(node_network_transmit_errs_total{instance=$node,job=$job}[$__rate_interval])), total transmitted errors
Softnet Packets Processed,sum by(instance)(irate(node_softnet_processed_total{instance=$node,job=$job}[$__rate_interval])),total softnet processed packets rated
Softnet Packets Dropped,sum by(instance)(irate(node_softnet_dropped_total{instance=$node,job=$job}[$__rate_interval])), total softnet dropped packets rated
TCP Sockstat Memory Bytes,node_sockstat_TCP_mem_bytes{instance=$node,job=$job},TCP sockstat memory bytes
UDP Sockstat Memory Bytes,node_sockstat_UDP_mem_bytes{instance=$node,job=$job},UDP sockstat memory bytes
FRAG Memory,node_sockstat_FRAG_memory{instance=$node,job=$job},node memory for frag
Sockstat TCP Allocated Sockets,node_sockstat_TCP_alloc{instance=$node,job=$job},Sockstat TCP Allocated Sockets
Sockstat TCP Inuse,node_sockstat_TCP_inuse{instance=$node,job=$job},Sockstat TCP tcp sockets currently in use
Sockstat TCP Memory,node_sockstat_TCP_mem{instance=$node,job=$job},Sockstat TCP used memory
Sockstat TCP Orphan,node_sockstat_TCP_orphan{instance=$node,job=$job},Sockstat TCP Orphan Sockets
Sockstat TCP waiting,node_sockstat_TCP_tw{instance=$node,job=$job},Sockstat TCP Sockets Waiting for to close
Sockstat UDP Inuse,node_sockstat_UDP_inuse{instance=$node,job=$job},Sockstat Udp in use
Sockstat Udplite Inuse,node_sockstat_UDPLITE_inuse{instance=$node,job=$job},Uplite Sockets currently in use
Sockstat UDP Memory,node_sockstat_UDP_mem{instance=$node,job=$job},Used memory for udp
TCP Connections established/close,node_netstat_Tcp_CurrEstab{instance=$node,job=$job},TCP Connections for which the current state is either established or close-wait
Datagrams Received,irate(node_netstat_Udp_InDatagrams{instance=$node,job=$job}[$__rate_interval]),UDP in datagrams received
DataGrams Sent,irate(node_netstat_Udp_OutDatagrams{instance=$node,job=$job}[$__rate_interval]),UDO datagrams sent
Netstat Received Octets,irate(node_netstat_IpExt_InOctets{instance=$node,job=$job}[$__rate_interval]),netstat ip in octets
Netstat Sent Octets,irate(node_netstat_IpExt_OutOctets{instance=$node,job=$job}[$__rate_interval]),netstat ip out octets
TCP Segments Received,irate(node_netstat_Tcp_InSegs{instance=$node,job=$job}[$__rate_interval]),segments received including errors count of currently established connections
TCP Segments Sent,irate(node_netstat_Tcp_OutSegs{instance=$node,job=$job}[$__rate_interval]),segments sent on current connections but excluding those contain only transmitted octets
TCP Error overflowed,irate(node_netstat_TcpExt_ListenOverflows{instance=$node,job=$job}[$__rate_interval]),Times the listen queue of a socket is overflowed
TCP Error listendrop,irate(node_netstat_TcpExt_ListenDrops{instance=$node,job=$job}[$__rate_interval]),SYNs to listen sockets ignored
TCP Error Retrans,irate(node_netstat_TcpExt_TCPSynRetrans{instance=$node,job=$job}[$__rate_interval]),SYN-SYN/ACK retransmits to break down retransmissions in SYN, fast/timeout retransmits
TCP Error Retransegs,irate(node_netstat_Tcp_RetransSegs{instance=$node,job=$job}[$__rate_interval]),Segments retransmitted - that is, the number of TCP segments transmitted containing one or more previously transmitted octets
TCP Segment Error Received,irate(node_netstat_Tcp_InErrs{instance=$node,job=$job}[$__rate_interval]),Segments received in error(bad checksums)
TCP Out RST flag,irate(node_netstat_Tcp_OutRsts{instance=$node,job=$job}[$__rate_interval]),Segments sent with RST flag
UDP Inerrors,irate(node_netstat_Udp_InErrors{instance=$node,job=$job}[$__rate_interval]),UDP Datagrams that could not be delivered to an application
UDP Noports,irate(node_netstat_Udp_NoPorts{instance=$node,job=$job}[$__rate_interval]),UDP datagrams received on a port with no listener
UDPlite inerrors,irate(node_netstat_UdpLite_InErrors{instance=$node,job=$job}[$__rate_interval]),UDPlite Datagrams that could not be delivered to an application
UDP Buffer Errors received,irate(node_netstat_Udp_RcvbufErrors{instance=$node,job=$job}[$__rate_interval]),UDP buffer errors received
UDP Buffer Errors sent,irate(node_netstat_Udp_SndbufErrors{instance=$node,job=$job}[$__rate_interval]),UDP buffer errors sent
